#string_protein_id	preferred_name	protein_size	annotation
10090.ENSMUSP00000020311	Micu1	483	Calcium uptake protein 1, mitochondrial; Key regulator of mitochondrial calcium uniporter (MCU) that senses calcium level via its EF-hand domains. MICU1 and MICU2 form a disulfide-linked heterodimer that stimulates and inhibits MCU activity, depending on the concentration of calcium. MICU1 acts both as an activator or inhibitor of mitochondrial calcium uptake (By similarity). Acts as a gatekeeper of MCU at low concentration of calcium, preventing channel opening (By similarity). Enhances MCU opening at high calcium concentration, allowing a rapid response of mitochondria to calcium sig [...] 
10090.ENSMUSP00000020312	Mcu	350	Calcium uniporter protein, mitochondrial; Mitochondrial inner membrane calcium uniporter that mediates calcium uptake into mitochondria. Constitutes the pore-forming and calcium-conducting subunit of the uniporter complex (uniplex) (By similarity). Activity is regulated by MICU1 and MICU2 (By similarity). At low Ca(2+) levels MCU activity is down-regulated by MICU1 and MICU2; at higher Ca(2+) levels MICU1 increases MCU activity (By similarity). Mitochondrial calcium homeostasis plays key roles in cellular physiology and regulates cell bioenergetics, cytoplasmic calcium signals and acti [...] 
10090.ENSMUSP00000020315	Cand1	1230	Cullin-associated NEDD8-dissociated protein 1; Key assembly factor of SCF (SKP1-CUL1-F-box protein) E3 ubiquitin ligase complexes that promotes the exchange of the substrate- recognition F-box subunit in SCF complexes, thereby playing a key role in the cellular repertoire of SCF complexes. Acts as a F-box protein exchange factor. The exchange activity of CAND1 is coupled with cycles of neddylation conjugation: in the deneddylated state, cullin-binding CAND1 binds CUL1-RBX1, increasing dissociation of the SCF complex and promoting exchange of the F-box protein. Probably plays a similar  [...] 
10090.ENSMUSP00000020316	Tbk1	729	Serine/threonine-protein kinase TBK1; Serine/threonine kinase that plays an essential role in regulating inflammatory responses to foreign agents. Following activation of toll-like receptors by viral or bacterial components, associates with TRAF3 and TANK and phosphorylates interferon regulatory factors (IRFs) IRF3 and IRF7 as well as DDX3X (By similarity). This activity allows subsequent homodimerization and nuclear translocation of the IRFs leading to transcriptional activation of pro-inflammatory and antiviral genes including IFNA and IFNB (By similarity). In order to establish such [...] 
10090.ENSMUSP00000020317	Pno1	248	RNA-binding protein PNO1; Positively regulates dimethylation of two adjacent adenosines in the loop of a conserved hairpin near the 3'-end of 18S rRNA. Belongs to the PNO1 family.
10090.ENSMUSP00000020323	Avpr1a	423	Vasopressin V1a receptor; Receptor for arginine vasopressin. The activity of this receptor is mediated by G proteins which activate a phosphatidyl- inositol-calcium second messenger system. Involved in social memory formation.
10090.ENSMUSP00000020329	Egfr	1210	Epidermal growth factor receptor; Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses. Known ligands include EGF, TGFA/TGF-alpha, AREG, epigen/EPGN, BTC/betacellulin, epiregulin/EREG and HBEGF/heparin-binding EGF. Ligand binding triggers receptor homo- and/or heterodimerization and autophosphorylation on key cytoplasmic residues. The phosphorylated receptor recruits adapter proteins like GRB2 which in turn activates complex downstream signaling cascades. Activates at least [...] 
10090.ENSMUSP00000020339	Tbc1d15	671	TBC1 domain family member 15; Acts as a GTPase activating protein for RAB7A. Does not act on RAB4, RAB5 or RAB6.
10090.ENSMUSP00000020340	Pcsk4	655	Proprotein convertase subtilisin/kexin type 4; Proprotein convertase involved in the processing of hormone and other protein precursors at sites comprised of pairs of basic amino acid residues. In males, important for ADAM2 processing as well as other acrosomal proteins with roles in fertilization and critical for normal fertilization events such as sperm capacitation, acrosome reaction and binding of sperm to zona pellucida. Plays also a role in female fertility, involved in the regulation of trophoblast migration and placental development, may be through the proteolytical processing  [...] 
10090.ENSMUSP00000020341	2310011J03Rik	109	UPF0449 protein C19orf25 homolog; Belongs to the UPF0449 family.
10090.ENSMUSP00000020343	Rab21	222	Ras-related protein Rab-21; Regulates integrin internalization and recycling, but does not influence the traffic of endosomally translocated receptors in general. As a result, may regulate cell adhesion and migration. During the mitosis of adherent cells, controls the endosomal trafficking of integrins which is required for the successful completion of cytokinesis. Involved in neurite growth (By similarity). Following SBF2/MTMT13-mediated activation in response to starvation-induced autophagy, binds to and regulates SNARE protein VAMP8 endolysosomal transport required for SNARE-mediate [...] 
10090.ENSMUSP00000020349	Apc2	2274	Adenomatous polyposis coli protein 2; Stabilizes microtubules and may regulate actin fiber dynamics through the activation of Rho family GTPases. May also function in Wnt signaling by promoting the rapid degradation of CTNNB1. Belongs to the adenomatous polyposis coli (APC) family.
10090.ENSMUSP00000020350	Lgr5	907	Leucine-rich repeat-containing G-protein coupled receptor 5; Receptor for R-spondins that potentiates the canonical Wnt signaling pathway and acts as a stem cell marker of the intestinal epithelium and the hair follicle. Upon binding to R-spondins (RSPO1, RSPO2, RSPO3 or RSPO4), associates with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. In contrast to classical G-protein coupled receptors, does not activate heterotrimeric G-proteins to transduce the  [...] 
10090.ENSMUSP00000020359	Gamt	252	Guanidinoacetate N-methyltransferase; Converts guanidinoacetate to creatine, using S- adenosylmethionine as the methyl donor. Important in nervous system development.
10090.ENSMUSP00000020362	Kcnmb1	191	Calcium-activated potassium channel subunit beta-1; Regulatory subunit of the calcium activated potassium KCNMA1 (maxiK) channel. Modulates the calcium sensitivity and gating kinetics of KCNMA1, thereby contributing to KCNMA1 channel diversity. Increases the apparent Ca(2+)/voltage sensitivity of the KCNMA1 channel. It also modifies KCNMA1 channel kinetics and alters its pharmacological properties. It slows down the activation and the deactivation kinetics of the channel. Acts as a negative regulator of smooth muscle contraction by enhancing the calcium sensitivity to KCNMA1. Its prese [...] 
10090.ENSMUSP00000020365	Pwwp3a	682	PWWP domain-containing DNA repair factor 3A; Involved in the DNA damage response pathway by contributing to the maintenance of chromatin architecture. Recruited to the vicinity of DNA breaks by TP53BP1 and plays an accessory role to facilitate damage-induced chromatin changes and promoting chromatin relaxation. Required for efficient DNA repair and cell survival following DNA damage (By similarity); Belongs to the PWWP3A family.
10090.ENSMUSP00000020366	Gabrp	440	Gamma-aminobutyric acid receptor subunit pi; GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel. In the uterus, the function of the receptor appears to be related to tissue contractility. The binding of this pI subunit with other GABA(A) receptor subunits alters the sensitivity of recombinant receptors to modulatory agents such as pregnanolone (By similarity).
10090.ENSMUSP00000020372	Uqcr11	56	Cytochrome b-c1 complex subunit 10; Component of the ubiquinol-cytochrome c oxidoreductase, a multisubunit transmembrane complex that is part of the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the in [...] 
10090.ENSMUSP00000020375	Rab3ip	428	Rab-3A-interacting protein; Guanine nucleotide exchange factor (GEF) which may activate RAB8A and RAB8B. Promotes the exchange of GDP to GTP, converting inactive GDP-bound Rab proteins into their active GTP-bound form. Mediates the release of GDP from RAB8A and RAB8B but not from RAB3A or RAB5. Modulates actin organization and promotes polarized transport of RAB8A-specific vesicles to the cell surface. Together with RAB11A, RAB8A, the exocyst complex, PARD3, PRKCI, ANXA2, CDC42 and DNMBP promotes transcytosis of PODXL to the apical membrane initiation sites (AMIS), apical surface forma [...] 
10090.ENSMUSP00000020378	Best3	669	Bestrophin-3; Forms calcium-sensitive chloride channels. Permeable to bicarbonate (By similarity); Belongs to the bestrophin family.
10090.ENSMUSP00000020381	Frs2	508	Fibroblast growth factor receptor substrate 2; Adapter protein that links activated FGR and NGF receptors to downstream signaling pathways. Plays an important role in the activation of MAP kinases and in the phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, in response to ligand-mediated activation of FGFR1. Modulates signaling via SHC1 by competing for a common binding site on NTRK1.
10090.ENSMUSP00000020382	Yeats4	227	YEATS domain-containing protein 4; Component of the NuA4 histone acetyltransferase (HAT) complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A. This modification may both alter nucleosome - DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription. This complex may be required for the activation of transcriptional programs associated with oncogene and proto-oncogene mediated growth induction, tumor suppressor mediated growth arrest and repl [...] 
10090.ENSMUSP00000020383	Atp8b3	1335	Phospholipid-transporting ATPase IK; P4-ATPase flippase which catalyzes the hydrolysis of ATP coupled to the transport of aminophospholipids from the outer to the inner leaflet of various membranes and ensures the maintenance of asymmetric distribution of phospholipids. Phospholipid translocation seems also to be implicated in vesicle formation and in uptake of lipid signaling molecules. May be responsible for the maintenance of asymmetric distribution of phosphatidylserine (PS) in spermatozoa membranes. Involved in acrosome reactions and binding of spermatozoa to zona pellucida; Belon [...] 
10090.ENSMUSP00000020392	9530003J23Rik	151	RIKEN cDNA 9530003J23 gene; Belongs to the glycosyl hydrolase 22 family.
10090.ENSMUSP00000020397	Snrpd3	126	Small nuclear ribonucleoprotein Sm D3; Plays role in pre-mRNA splicing as core component of the SMN- Sm complex that mediates spliceosomal snRNP assembly and as component of the spliceosomal U1, U2, U4 and U5 small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome. Component of both the pre-catalytic spliceosome B complex and activated spliceosome C complexes. Is also a component of the minor U12 spliceosome (By similarity). As part of the U7 snRNP it is involved in histone pre-mRNA 3'-end processing.
10090.ENSMUSP00000020399	Cpm	443	Carboxypeptidase M; Specifically removes C-terminal basic residues (Arg or Lys) from peptides and proteins. It is believed to play important roles in the control of peptide hormone and growth factor activity at the cell surface, and in the membrane-localized degradation of extracellular proteins (By similarity).
10090.ENSMUSP00000020403	Csrp2	193	Cysteine and glycine-rich protein 2; Drastically down-regulated in response to PDGF-BB or cell injury, that promote smooth muscle cell proliferation and dedifferentiation. Seems to play a role in the development of the embryonic vascular system (By similarity).
10090.ENSMUSP00000020408	Mdm2	489	E3 ubiquitin-protein ligase Mdm2; E3 ubiquitin-protein ligase that mediates ubiquitination of p53/TP53, leading to its degradation by the proteasome. Inhibits p53/TP53- and p73/TP73- mediated cell cycle arrest and apoptosis by binding its transcriptional activation domain (By similarity). Also acts as a ubiquitin ligase E3 toward itself, ARRB1 and ARBB2. Permits the nuclear export of p53/TP53 (By similarity). Promotes proteasome-dependent ubiquitin-independent degradation of retinoblastoma RB1 protein (By similarity). Inhibits DAXX-mediated apoptosis by inducing its ubiquitination and  [...] 
10090.ENSMUSP00000020411	Osbpl5	898	Oxysterol-binding protein-related protein 5; Lipid transporter involved in lipid countertransport between the endoplasmic reticulum and the plasma membrane: specifically exchanges phosphatidylserine with phosphatidylinositol 4-phosphate (PI4P), delivering phosphatidylserine to the plasma membrane in exchange for PI4P, which is degraded by the SAC1/SACM1L phosphatase in the endoplasmic reticulum. Binds phosphatidylserine and PI4P in a mutually exclusive manner. May cooperate with NPC1 to mediate the exit of cholesterol from endosomes/lysosomes. Binds 25-hydroxycholesterol and cholesterol.
10090.ENSMUSP00000020413	Zpbp	408	Zona pellucida-binding protein 1; Plays a role in acrosome compaction and sperm morphogenesis. Is implicated in sperm-oocyte interaction during fertilization. Belongs to the zona pellucida-binding protein Sp38 family.
10090.ENSMUSP00000020420	Ap3d1	1199	AP-3 complex subunit delta-1; Part of the AP-3 complex, an adaptor-related complex which is not clathrin-associated. The complex is associated with the Golgi region as well as more peripheral structures. It facilitates the budding of vesicles from the Golgi membrane and may be directly involved in trafficking to lysosomes (By similarity). Involved in process of CD8+ T-cell and NK cell degranulation (By similarity). In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals.
10090.ENSMUSP00000020434	Glipr1l2	332	GLIPR1-like protein 2; Belongs to the CRISP family.
10090.ENSMUSP00000020439	Wif1	379	Wnt inhibitory factor 1; Binds to WNT proteins and inhibits their activities. May be involved in mesoderm segmentation.
10090.ENSMUSP00000020440	Timm13	95	Mitochondrial import inner membrane translocase subunit Tim13; Mitochondrial intermembrane chaperone that participates in the import and insertion of some multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. The TIMM8- TIMM13 complex mediates the import of proteins  [...] 
10090.ENSMUSP00000020444	Llph	130	Protein LLP homolog; In hippocampal neurons, regulates dendritic and spine growth and synaptic transmission.
10090.ENSMUSP00000020446	Tmbim4	238	Protein lifeguard 4; Anti-apoptotic protein which can inhibit apoptosis induced by intrinsic and extrinsic apoptotic stimuli. Can modulate both capacitative Ca2+ entry and inositol 1,4,5-trisphosphate (IP3)-mediated Ca2+ release (By similarity).
10090.ENSMUSP00000020448	Irak3	609	Interleukin-1 receptor-associated kinase 3; Inhibits dissociation of IRAK1 and IRAK4 from the Toll-like receptor signaling complex by either inhibiting the phosphorylation of IRAK1 and IRAK4 or stabilizing the receptor complex. Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. Pelle subfamily.
10090.ENSMUSP00000020449	Helb	1074	DNA helicase B; 5'-3' DNA helicase involved in DNA damage response by acting as an inhibitor of DNA end resection. Recruitment to single-stranded DNA (ssDNA) following DNA damage leads to inhibit the nucleases catalyzing resection, such as EXO1, BLM and DNA2, possibly via the 5'-3' ssDNA translocase activity of HELB. As cells approach S phase, DNA end resection is promoted by the nuclear export of HELB following phosphorylation. Acts independently of TP53BP1. Unwinds duplex DNA with 5'- 3' polarity. Has single-strand DNA-dependent ATPase and DNA helicase activities. Prefers ATP and dAT [...] 
10090.ENSMUSP00000020450	Slc5a4a	656	Solute carrier family 5 member 4A; Has sugar-induced sodium-independent electrogenic activity. Generation of glucose-induced inward currents is pH-dependent, with activity in acidic conditions (pH 5) but not neutral conditions. Does not have sugar transport activity; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family.
10090.ENSMUSP00000020454	Hmg20b	317	High mobility group 20B; Required for correct progression through G2 phase of the cell cycle and entry into mitosis. Required for RCOR1/CoREST mediated repression of neuronal specific gene promoters (By similarity).
10090.ENSMUSP00000020456	4930404N11Rik	206	Uncharacterized protein C19orf71 homolog.
10090.ENSMUSP00000020461	Nfic	439	Nuclear factor 1 C-type; Recognizes and binds the palindromic sequence 5'- TTGGCNNNNNGCCAA-3' present in viral and cellular promoters and in the origin of replication of adenovirus type 2. These proteins are individually capable of activating transcription and replication; Belongs to the CTF/NF-I family.
10090.ENSMUSP00000020463	Ncln	563	Nicalin; May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning.
10090.ENSMUSP00000020478	Hcfc2	722	Host cell factor 2.
10090.ENSMUSP00000020485	Glt8d2	351	Glycosyltransferase 8 domain-containing protein 2.
10090.ENSMUSP00000020488	D10Wsu102e	185	Uncharacterized protein C12orf45 homolog.
10090.ENSMUSP00000020490	Wdr82	313	WD repeat-containing protein 82; Regulatory component of the SET1 complex implicated in the tethering of this complex to transcriptional start sites of active genes. Facilitates histone H3 'Lys-4' methylation via recruitment of the SETD1A or SETD1B to the 'Ser-5' phosphorylated C-terminal domain (CTD) of RNA polymerase II large subunit (POLR2A). Component of PTW/PP1 phosphatase complex, which plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase. Possible role in telomere length maintenance and in mRNA processin [...] 
10090.ENSMUSP00000020493	Pofut2	429	GDP-fucose protein O-fucosyltransferase 2; Catalyzes the reaction that attaches fucose through an O- glycosidic linkage to a conserved serine or threonine residue in the consensus sequence C1-X(2,3)-S/T-C2-X(2)-G of thrombospondin type I repeats (TSRs) where C1 and C2 are the first and second cysteines of the repeat, respectively. O-fucosylates members of several protein families including the ADAMTS superfamily and the thrombosporin (TSP) and spondin families. Required for the proper secretion of ADAMTS family members such as ADAMSL1 and ADAMST13 (By similarity). O- fucosylation of TS [...] 
10090.ENSMUSP00000020497	Aldh1l2	923	Mitochondrial 10-formyltetrahydrofolate dehydrogenase; In the N-terminal section; belongs to the GART family.
10090.ENSMUSP00000020500	Appl2	662	DCC-interacting protein 13-beta; Multifunctional adapter protein that binds to various membrane receptors, nuclear factors and signaling proteins to regulate many processes, such as cell proliferation, immune response, endosomal trafficking and cell metabolism. Regulates signaling pathway leading to cell proliferation through interaction with RAB5A and subunits of the NuRD/MeCP1 complex (By similarity). Plays a role in immune response by modulating phagocytosis, inflammatory and innate immune responses. In macrophages, enhances Fc-gamma receptor-mediated phagocytosis through interactio [...] 
10090.ENSMUSP00000020502	Slc36a3	477	Proton-coupled amino acid transporter 3; Belongs to the amino acid/polyamine transporter 2 family.
10090.ENSMUSP00000020504	Hint1	126	Histidine triad nucleotide-binding protein 1; Hydrolyzes purine nucleotide phosphoramidates with a single phosphate group, including adenosine 5'monophosphoramidate (AMP-NH2), adenosine 5'monophosphomorpholidate (AMP-morpholidate) and guanosine 5'monophosphomorpholidate (GMP-morpholidate). Hydrolyzes lysyl-AMP (AMP-N-epsilon-(N-alpha-acetyl lysine methyl ester)) generated by lysine tRNA ligase, as well as Met-AMP, His-AMP and Asp-AMP, lysyl-GMP (GMP-N-epsilon-(N-alpha-acetyl lysine methyl ester)) and AMP-N-alanine methyl ester. Can also convert adenosine 5'-O-phosphorothioate and guano [...] 
10090.ENSMUSP00000020507	Fgf18	207	Fibroblast growth factor 18; Plays an important role in the regulation of cell proliferation, cell differentiation and cell migration. Required for normal ossification and bone development. Stimulates hepatic and intestinal proliferation (By similarity).
10090.ENSMUSP00000020508	Smim23	136	Small integral membrane protein 23.
10090.ENSMUSP00000020513	Papolg	739	Poly(A) polymerase gamma; Responsible for the post-transcriptional adenylation of the 3'-terminal of mRNA precursors and several small RNAs including signal recognition particle (SRP) RNA, nuclear 7SK RNA, U2 small nuclear RNA, and ribosomal 5S RNA; Belongs to the poly(A) polymerase family.
10090.ENSMUSP00000020522	Pfkl	780	ATP-dependent 6-phosphofructokinase, liver type; Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis (By similarity). Negatively regulates the phagocyte oxidative burst in response to bacterial infection by controlling cellular NADPH biosynthesis and NADPH oxidase-derived reactive oxygen species. Upon macrophage activation, drives the metabolic switch toward glycolysis, thus preventing glucose turnover that produces NADPH via pentose phosphate pathway ; Belongs to the phosphofructokinase type A (PFKA) fami [...] 
10090.ENSMUSP00000020523	Pex13	405	Peroxisomal membrane protein PEX13; Component of the peroxisomal translocation machinery with PEX14 and PEX17. Functions as a docking factor for the predominantly cytoplasmic PTS1 receptor (PAS10/PEX5). Involved in the import of PTS1 and PTS2 proteins (By similarity).
10090.ENSMUSP00000020524	Rhbdf1	856	Inactive rhomboid protein 1; Regulates ADAM17 protease, a sheddase of the epidermal growth factor (EGF) receptor ligands and TNF, thereby plays a role in sleep, cell survival, proliferation, migration and inflammation. Does not exhibit any protease activity on its own.
10090.ENSMUSP00000020528	Mpg	333	DNA-3-methyladenine glycosylase; Hydrolysis of the deoxyribose N-glycosidic bond to excise 3- methyladenine, and 7-methylguanine from the damaged DNA polymer formed by alkylation lesions.
10090.ENSMUSP00000020529	Ahsa2	331	Activator of 90 kDa heat shock protein ATPase homolog 2; Co-chaperone that stimulates HSP90 ATPase activity. Belongs to the AHA1 family.
10090.ENSMUSP00000020530	Nprl3	569	GATOR complex protein NPRL3; As a component of the GATOR1 complex functions as an inhibitor of the amino acid-sensing branch of the TORC1 pathway. The GATOR1 complex strongly increases GTP hydrolysis by RRAGA and RRAGB within RRAGC-containing heterodimers, thereby deactivating RRAGs, releasing mTORC1 from lysosomal surface and inhibiting mTORC1 signaling. The GATOR1 complex is negatively regulated by GATOR2 the other GATOR subcomplex in this amino acid-sensing branch of the TORC1 pathway.
10090.ENSMUSP00000020531	Hba-x	142	Hemoglobin subunit zeta; The zeta chain is an alpha-type chain of mammalian embryonic hemoglobin; Belongs to the globin family.
10090.ENSMUSP00000020535	Hbq1a	145	Hemoglobin, theta 1A; Belongs to the globin family.
10090.ENSMUSP00000020537	Nsg2	171	Neuronal vesicle trafficking-associated protein 2.
10090.ENSMUSP00000020543	Cpeb4	729	Cytoplasmic polyadenylation element-binding protein 4; Sequence-specific RNA-binding protein that binds to the cytoplasmic polyadenylation element (CPE), an uridine-rich sequence element (consensus sequence 5'-UUUUUAU-3') within the mRNA 3'-UTR. RNA binding results in a clear conformational change analogous to the Venus fly trap mechanism (By similarity). Regulates activation of unfolded protein response (UPR) in the process of adaptation to ER stress in liver, by maintaining translation of CPE- regulated mRNAs in conditions in which global protein synthesis is inhibited. Required for  [...] 
10090.ENSMUSP00000020546	Stc2	296	Stanniocalcin-2; Has an anti-hypocalcemic action on calcium and phosphate homeostasis; Belongs to the stanniocalcin family.
10090.ENSMUSP00000020547	Vmn2r81	865	EC1-V2R pheromone receptor protein.
10090.ENSMUSP00000020549	Gzmm	264	Granzyme M (Lymphocyte Met-ase 1); Belongs to the peptidase S1 family.
10090.ENSMUSP00000020550	Cdc34	235	Ubiquitin-conjugating enzyme E2 R1; Accepts ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins. In vitro catalyzes 'Lys-48'- linked polyubiquitination. Cooperates with the E2 UBCH5C and the SCF(FBXW11) E3 ligase complex for the polyubiquitination of NFKBIA leading to its subsequent proteasomal degradation. Performs ubiquitin chain elongation building ubiquitin chains from the UBE2D3-primed NFKBIA-linked ubiquitin. UBE2D3 acts as an initiator E2, priming the phosphorylated NFKBIA target at positions 'Lys-21' and/or 'Lys-22' with a monoubiquitin. Cooper [...] 
10090.ENSMUSP00000020551	Asb3	525	Ankyrin repeat and SOCS box protein 3; Probable substrate-recognition component of a SCF-like ECS (Elongin-Cullin-SOCS-box protein) E3 ubiquitin-protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins. Recognizes TNFRSF1B (By similarity).
10090.ENSMUSP00000020552	Tpgs1	303	Tubulin polyglutamylase complex subunit 1; May act in the targeting of the tubulin polyglutamylase complex. Required for the development of the spermatid flagellum.
10090.ENSMUSP00000020554	Madcam1	405	Mucosal addressin cell adhesion molecule 1; Cell adhesion leukocyte receptor expressed by mucosal venules, helps to direct lymphocyte traffic into mucosal tissues including the Peyer patches and the intestinal lamina propria. It can bind both the integrin alpha-4/beta-7 and L-selectin, regulating both the passage and retention of leukocytes. Both isoform 1 and isoform 2 can adhere to integrin alpha-4/beta-7. Isoform 2, lacking the mucin- like domain, may be specialized in supporting integrin alpha-4/beta-7- dependent adhesion strengthening, independent of L-selectin binding.
10090.ENSMUSP00000020564	Shc2	573	SHC-transforming protein 2; Signaling adapter that couples activated growth factor receptors to signaling pathway in neurons. Involved in the signal transduction pathways of neurotrophin-activated Trk receptors in cortical neurons.
10090.ENSMUSP00000020566	Theg	375	Testicular haploid expressed gene protein; May be involved (but not essential) in spermatogenesis.
10090.ENSMUSP00000020568	Wdpcp	722	WD repeat-containing and planar cell polarity effector protein fritz homolog; Probable effector of the planar cell polarity signaling pathway which regulates the septin cytoskeleton in both ciliogenesis and collective cell movements. Together with FUZ and WDPCP proposed to function as core component of the CPLANE (ciliogenesis and planar polarity effectors) complex involved in the recruitment of peripheral IFT-A proteins to basal bodies.
10090.ENSMUSP00000020575	Fstl3	256	Follistatin-related protein 3; The secreted form is a binding and antagonizing protein for members of the TGF-beta family, such us activin, BMP2 and MSTN. Inhibits activin A-, activin B-, BMP2- and MSDT-induced cellular signaling; more effective on activin A than on activin B. Involved in bone formation; inhibits osteoclast differentiation. Involved in hematopoiesis; involved in differentiation of hemopoietic progenitor cells, increases hematopoietic cell adhesion to fibronectin and seems to contribute to the adhesion of hematopoietic precursor cells to the bone marrow stroma. The nucl [...] 
10090.ENSMUSP00000020576	Ccng1	294	Cyclin-G1; May play a role in growth regulation. Is associated with G2/M phase arrest in response to DNA damage. May be an intermediate by which p53 mediates its role as an inhibitor of cellular proliferation. Belongs to the cyclin family. Cyclin G subfamily.
10090.ENSMUSP00000020578	Nudcd2	157	NudC domain-containing protein 2; May regulate the LIS1/dynein pathway by stabilizing LIS1 with Hsp90 chaperone.
10090.ENSMUSP00000020579	Hmmr	794	Hyaluronan mediated motility receptor; Receptor for hyaluronic acid (HA). Involved in cell motility. When hyaluronan binds to HMMR, the phosphorylation of a number of proteins, including the PTK2/FAK1 occurs. May also be involved in cellular transformation and metastasis formation, and in regulating extracellular-regulated kinase (ERK) activity. May act as a regulator of adipogenesis.
10090.ENSMUSP00000020580	Polrmt	1207	DNA-directed RNA polymerase, mitochondrial; DNA-dependent RNA polymerase catalyzes the transcription of mitochondrial DNA into RNA using the four ribonucleoside triphosphates as substrates. Component of the mitochondrial transcription initiation complex, composed at least of TFB2M, TFAM and POLRMT that is required for basal transcription of mitochondrial DNA. In this complex, TFAM recruits POLRMT to a specific promoter whereas TFB2M induces structural changes in POLRMT to enable promoter opening and trapping of the DNA non-template strand.
10090.ENSMUSP00000020586	Slc22a4	553	Solute carrier family 22 member 4; Sodium-ion dependent, low affinity carnitine transporter. Probably transports one sodium ion with one molecule of carnitine. Also transports organic cations such as tetraethylammonium (TEA) without the involvement of sodium. Relative uptake activity ratio of carnitine to TEA is 1.78; Belongs to the major facilitator (TC 2.A.1) superfamily. Organic cation transporter (TC 2.A.1.19) family.
10090.ENSMUSP00000020608	Ppp2ca	309	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform; PP2A is the major phosphatase for microtubule-associated proteins (MAPs). PP2A can modulate the activity of phosphorylase B kinase casein kinase 2, mitogen-stimulated S6 kinase, and MAP-2 kinase. Cooperates with SGO2 to protect centromeric cohesin from separase- mediated cleavage in oocytes specifically during meiosis I. Activates RAF1 by dephosphorylating it at 'Ser-259' (By similarity).
10090.ENSMUSP00000020617	Flt4	1363	Vascular endothelial growth factor receptor 3; Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFC and VEGFD, and plays an essential role in adult lymphangiogenesis and in the development of the vascular network and the cardiovascular system during embryonic development. Promotes proliferation, survival and migration of endothelial cells, and regulates angiogenic sprouting. Signaling by activated FLT4 leads to enhanced production of VEGFC, and to a lesser degree VEGFA, thereby creating a positive feedback loop that enhances FLT4 signaling. Modulates KDR signaling by  [...] 
10090.ENSMUSP00000020629	Gfpt2	682	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2; Controls the flux of glucose into the hexosamine pathway. Most likely involved in regulating the availability of precursors for N- and O-linked glycosylation of proteins.
10090.ENSMUSP00000020630	Hspa4	842	Heat shock 70 kDa protein 4; Belongs to the heat shock protein 70 family.
10090.ENSMUSP00000020640	Rack1	317	Receptor of activated protein C kinase 1, N-terminally processed; Scaffolding protein involved in the recruitment, assembly and/or regulation of a variety of signaling molecules. Interacts with a wide variety of proteins and plays a role in many cellular processes. Component of the 40S ribosomal subunit involved in translational repression. Involved in the initiation of the ribosome quality control (RQC), a pathway that takes place when a ribosome has stalled during translation, by promoting ubiquitination of a subset of 40S ribosomal subunits (By similarity). Binds to and stabilizes a [...] 
10090.ENSMUSP00000020643	Rufy1	712	RUN and FYVE domain-containing protein 1; Binds phospholipid vesicles containing phosphatidylinositol 3-phosphate and participates in early endosomal trafficking.
10090.ENSMUSP00000020647	Mrnip	335	MRN complex-interacting protein; Plays a role in the cellular response to DNA damage and the maintenance of genome stability through its association with the MRN damage-sensing complex. Promotes chromatin loading and activity of the MRN complex to facilitate subsequent ATM-mediated DNA damage response signaling and DNA repair; Belongs to the MRNIP family.
